1789494129.373,200,0.075928
1789495757.998,300,0.011892
1789495758.018,300,0.005744
1789495758.043,300,0.013136
1789496514.144,200,0.013368
1789496514.640,200,0.012085
1789496515.140,200,0.011227
1789496515.637,200,0.008646
1789496516.130,200,0.002552
1789496516.652,200,0.014072
1789496517.139,200,0.009354
1789496517.636,200,0.005615
1789496518.135,200,0.003021
1789496518.634,200,0.005458
1789496519.138,200,0.003528
1789496519.643,200,0.005233
1789496520.142,200,0.004267
1789496520.634,200,0.006196
1789496521.137,200,0.002951
1789496521.635,200,0.003960
1789496522.131,200,0.003427
1789496522.641,200,0.012976
1789496523.139,200,0.007729
1789496523.649,200,0.012128
1789496524.135,200,0.002869
1789496524.646,200,0.005153
1789496525.136,200,0.008371
1789496525.650,200,0.006983
1789496526.139,200,0.007479
1789496526.642,200,0.012797
1789496527.135,200,0.007131
1789496527.650,200,0.021850
1789496528.136,200,0.008195
1789496528.632,200,0.002802
1789496529.140,200,0.009709
1789496529.635,200,0.003274
1789496530.135,200,0.004518
1789496530.633,200,0.004868
1789496531.139,200,0.004150
1789496531.631,200,0.002591
1789496532.147,200,0.014919
1789496532.633,200,0.004399
1789496533.137,200,0.008191
1789496533.637,200,0.008547
1789496534.135,200,0.003593
1789496534.640,200,0.009499
1789496535.152,200,0.018600
1789496535.640,200,0.008500
1789496536.137,200,0.007621
1789496536.633,200,0.003976
1789496537.145,200,0.011321
1789496537.637,200,0.007974
1789496538.136,200,0.005686
1789496538.634,200,0.005802
1789496539.135,200,0.004548
1789496539.640,200,0.007742
1789496540.135,200,0.006655
1789496540.653,200,0.010126
1789496541.131,200,0.002716
1789496541.636,200,0.007886
1789496542.132,200,0.003451
1789496542.635,200,0.004770
1789496543.145,200,0.009045
1789496543.636,200,0.004851
1789497009.144,200,0.005874
1789497009.188,200,0.004805
1789497009.244,200,0.009450
1789497009.307,200,0.005480
1789497009.348,200,0.010873
1789497009.387,200,0.003150
1789497009.439,200,0.005590
1789497009.507,200,0.013436
1789497009.541,200,0.008360
1789497009.598,200,0.009242
1789497009.638,200,0.005242
1789497009.695,200,0.012631
1789497009.739,200,0.006486
1789497009.786,200,0.003535
1789497009.841,200,0.005853
1789497009.908,200,0.014484
1789497009.942,200,0.007375
1789497009.997,200,0.010035
1789497010.040,200,0.006515
1789497010.091,200,0.006303
1789497010.140,200,0.006579
1789497010.192,200,0.008971
1789497010.257,200,0.019421
1789497010.298,200,0.005200
1789497010.341,200,0.004593
1789497010.401,200,0.007475
1789497010.446,200,0.012059
1789497010.491,200,0.003931
1789497010.536,200,0.003599
1789497010.593,200,0.009345
1789497010.642,200,0.008754
1789497010.687,200,0.003980
1789497010.741,200,0.007119
1789497010.788,200,0.005283
1789497010.841,200,0.008755
1789497010.909,200,0.025820
1789497010.940,200,0.007068
1789497010.987,200,0.004586
1789497011.041,200,0.008001
1789497011.093,200,0.010114
1789497011.136,200,0.003555
1789497011.196,200,0.013389
1789497011.249,200,0.013593
1789497011.301,200,0.018667
1789497011.343,200,0.007044
1789497011.388,200,0.004359
1789497011.440,200,0.005578
1789497011.503,200,0.010474
1789497011.542,200,0.008957
1789497011.599,200,0.015203
1789497011.642,200,0.005256
1789497011.690,200,0.008258
1789497011.754,200,0.022066
1789497011.794,200,0.012251
1789497011.847,200,0.009963
1789497011.890,200,0.006843
1789497011.941,200,0.008610
1789497012.005,200,0.021509
1789497012.042,200,0.009990
1789497012.102,200,0.015976
1789497012.145,200,0.005424
1789497012.192,200,0.008277
1789497012.236,200,0.004043
1789497012.295,200,0.011846
1789497012.338,200,0.006231
1789497012.397,200,0.011900
1789497012.443,200,0.010001
1789497012.487,200,0.005014
1789497012.536,200,0.003323
1789497012.597,200,0.014709
1789497012.639,200,0.006879
1789497012.687,200,0.004528
1789497012.739,200,0.006972
1789497012.808,200,0.026049
1789497012.841,200,0.009040
1789497012.893,200,0.010817
1789497012.940,200,0.007049
1789497012.994,200,0.010366
1789497013.037,200,0.004906
1789497013.086,200,0.004186
1789497013.139,200,0.004961
1789497013.189,200,0.006812
1789497013.237,200,0.005243
1789497013.292,200,0.006861
1789497013.338,200,0.005830
1789497013.397,200,0.009354
1789497013.435,200,0.003432
1789497013.485,200,0.003339
1789497013.539,200,0.004050
1789497013.603,200,0.014764
1789497013.642,200,0.008503
1789497013.688,200,0.005616
1789497013.737,200,0.005185
1789497013.792,200,0.010096
1789497013.854,200,0.022156
1789497013.891,200,0.009094
1789497013.946,200,0.013566
1789497013.989,200,0.006754
1789497014.044,200,0.011088
1789497014.086,200,0.003607
1789497014.136,200,0.003158
1789497014.194,200,0.009853
1789497014.237,200,0.005919
1789497014.289,200,0.006298
1789497014.337,200,0.005485
1789497014.392,200,0.009534
1789497014.440,200,0.005552
1789497014.492,200,0.009637
1789497014.539,200,0.005885
1789497014.592,200,0.009867
1789497014.647,200,0.011489
1789497014.687,200,0.005362
1789497014.741,200,0.007467
1789497014.788,200,0.006148
1789497014.839,200,0.003548
1789497014.892,200,0.007210
1789497014.940,200,0.008372
1789497014.995,200,0.012530
1789497015.036,200,0.004642
1789497015.086,200,0.004734
1789497015.138,200,0.005517
1789497015.191,200,0.009676
1789497015.236,200,0.004730
1789497015.302,200,0.017683
1789497015.346,200,0.011285
1789497015.391,200,0.008615
1789497015.435,200,0.003432
1789497015.495,200,0.013043
1789497015.545,200,0.009588
1789497015.590,200,0.007778
1789497015.642,200,0.007286
1789497015.687,200,0.004622
1789497015.743,200,0.009442
1789497015.794,200,0.010831
1789497015.840,200,0.007951
1789497015.894,200,0.011879
1789497015.940,200,0.007600
1789497015.989,200,0.007143
1789497016.045,200,0.008288
1789497016.088,200,0.005659
1789497016.146,200,0.013108
1789497016.196,200,0.013960
1789497016.237,200,0.005029
1789497016.291,200,0.009395
1789497016.337,200,0.005749
1789497016.387,200,0.004785
1789497016.439,200,0.007289
1789497016.486,200,0.003610
1789497016.539,200,0.007355
1789497016.587,200,0.004692
1789497016.648,200,0.012090
1789497016.689,200,0.006419
1789497016.738,200,0.004973
1789497016.788,200,0.006406
1789497016.844,200,0.008562
1789497016.886,200,0.003612
1789497016.940,200,0.005004
1789497016.999,200,0.012039
1789497017.041,200,0.009350
1789497017.089,200,0.007174
1789497017.137,200,0.005182
1789497017.189,200,0.007263
1789497017.243,200,0.007032
1789497017.291,200,0.008936
1789497017.342,200,0.007812
1789497017.388,200,0.005456
1789497017.446,200,0.009661
1789497017.501,200,0.018919
1789497017.547,200,0.013878
1789497017.586,200,0.003555
1789497017.639,200,0.005023
1789497017.686,200,0.004474
1789497017.759,200,0.027351
1789497017.789,200,0.005010
1789497017.836,200,0.004543
1789497017.894,200,0.011799
1789497017.939,200,0.006648
1789497017.992,200,0.009153
1789497018.040,200,0.004928
1789497018.086,200,0.003839
1789497018.147,200,0.014779
1789497018.188,200,0.005670
1789497018.245,200,0.009703
1789497018.285,200,0.003553
1789497018.339,200,0.006715
1789497018.402,200,0.015367
1789497018.447,200,0.006588
1789497018.490,200,0.007021
1789497018.539,200,0.004686
1789497018.592,200,0.009918
1789497018.652,200,0.013486
1789497018.696,200,0.006439
1789497018.747,200,0.015103
1789497018.788,200,0.004049
1789497018.843,200,0.010936
1789497018.889,200,0.006268
1789497018.948,200,0.014990
